director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combine
Deon Taylor,Dennis Quaid,Michael Ealy,Meagan Good,Thriller,the intruder,Dennis Quaid Michael Ealy Meagan Good Deon Taylor Thriller
Kelly Asbury,Kelly Clarkson,Pitbull,Nick Jonas,Family Animation Music,uglydolls,Kelly Clarkson Pitbull Nick Jonas Kelly Asbury Family Animation Music
Joe Berlinger,Zac Efron,Lily Collins,Kaya Scodelario,Crime,"extremely wicked, shockingly evil and vile",Zac Efron Lily Collins Kaya Scodelario Joe Berlinger Crime
William Bindley,KJ Apa,Maia Mitchell,Jacob Latimore,Romance Comedy,the last summer,KJ Apa Maia Mitchell Jacob Latimore William Bindley Romance Comedy
Rob Letterman,Ryan Reynolds,Justice Smith,Kathryn Newton,Action Adventure Fantasy,pokémon detective pikachu,Ryan Reynolds Justice Smith Kathryn Newton Rob Letterman Action Adventure Fantasy
Chris Addison,Anne Hathaway,Rebel Wilson,Alex Sharp,Comedy,the hustle,Anne Hathaway Rebel Wilson Alex Sharp Chris Addison Comedy
Dome Karukoski,Nicholas Hoult,Lily Collins,Colm Meaney,War Drama Romance,tolkien,Nicholas Hoult Lily Collins Colm Meaney Dome Karukoski War Drama Romance
Zara Hayes,Diane Keaton,Jacki Weaver,Pam Grier,Comedy Drama,poms,Diane Keaton Jacki Weaver Pam Grier Zara Hayes Comedy Drama
unknown,Mel Gibson,Sean Penn,Natalie Dormer,History Drama Mystery Thriller,the professor and the madman,Mel Gibson Sean Penn Natalie Dormer unknown History Drama Mystery Thriller
Chad Stahelski,Keanu Reeves,Halle Berry,Laurence Fishburne,Action Thriller Crime,john wick: chapter 3 – parabellum,Keanu Reeves Halle Berry Laurence Fishburne Chad Stahelski Action Thriller Crime
Gail Mancuso,Dennis Quaid,Josh Gad,Marg Helgenberger,Family Adventure Drama,a dog's journey,Dennis Quaid Josh Gad Marg Helgenberger Gail Mancuso Family Adventure Drama
Ry Russo-Young,Yara Shahidi,Charles Melton,John Leguizamo,Romance Drama,the sun is also a star,Yara Shahidi Charles Melton John Leguizamo Ry Russo-Young Romance Drama
Wayne Roberts,Johnny Depp,Rosemarie DeWitt,Danny Huston,Comedy Drama,the professor,Johnny Depp Rosemarie DeWitt Danny Huston Wayne Roberts Comedy Drama
Joanna Hogg,Honor Swinton Byrne,Tom Burke,Tilda Swinton,Romance Drama,the souvenir,Honor Swinton Byrne Tom Burke Tilda Swinton Joanna Hogg Romance Drama
unknown,John Lithgow,Blythe Danner,Derek Cecil,Drama Romance,the tomorrow man,John Lithgow Blythe Danner Derek Cecil unknown Drama Romance
Guy Ritchie,Mena Massoud,Will Smith,Naomi Scott,Adventure Fantasy Romance Family,aladdin,Mena Massoud Will Smith Naomi Scott Guy Ritchie Adventure Fantasy Romance Family
David Yarovesky,Elizabeth Banks,David Denman,Jackson A. Dunn,Horror Thriller Science Fiction,brightburn,Elizabeth Banks David Denman Jackson A. Dunn David Yarovesky Horror Thriller Science Fiction
Olivia Wilde,Kaitlyn Dever,Beanie Feldstein,Jessica Williams,Comedy,booksmart,Kaitlyn Dever Beanie Feldstein Jessica Williams Olivia Wilde Comedy
Richard Shepard,Allison Williams,Logan Browning,Steven Weber,Horror Thriller Drama,the perfection,Allison Williams Logan Browning Steven Weber Richard Shepard Horror Thriller Drama
Nahnatchka Khan,Ali Wong,Randall Park,Daniel Dae Kim,Romance Comedy,always be my maybe,Ali Wong Randall Park Daniel Dae Kim Nahnatchka Khan Romance Comedy
Michael Dougherty,Kyle Chandler,Vera Farmiga,Millie Bobby Brown,Science Fiction Action,godzilla: king of the monsters,Kyle Chandler Vera Farmiga Millie Bobby Brown Michael Dougherty Science Fiction Action
Dexter Fletcher,Taron Egerton,Jamie Bell,Richard Madden,Music Drama History,rocketman,Taron Egerton Jamie Bell Richard Madden Dexter Fletcher Music Drama History
Tate Taylor,Octavia Spencer,Juliette Lewis,Diana Silvers,Documentary,ma,Octavia Spencer Juliette Lewis Diana Silvers Tate Taylor Documentary
Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence,Science Fiction Action Adventure,dark phoenix,James McAvoy Michael Fassbender Jennifer Lawrence Simon Kinberg Science Fiction Action Adventure
Chris Renaud,Patton Oswalt,Eric Stonestreet,Kevin Hart,Adventure Animation Comedy Family,the secret life of pets 2,Patton Oswalt Eric Stonestreet Kevin Hart Chris Renaud Adventure Animation Comedy Family
Nisha Ganatra,Emma Thompson,Mindy Kaling,Max Casella,Comedy Drama,late night,Emma Thompson Mindy Kaling Max Casella Nisha Ganatra Comedy Drama
Joe Talbot,Jimmie Fails,Jonathan Majors,Danny Glover,Drama,the last black man in san francisco,Jimmie Fails Jonathan Majors Danny Glover Joe Talbot Drama
Seth Green,Breckin Meyer,Macaulay Culkin,Brenda Song,Comedy Drama,changeland,Breckin Meyer Macaulay Culkin Brenda Song Seth Green Comedy Drama
F. Gary Gray,Chris Hemsworth,Tessa Thompson,Kumail Nanjiani,Comedy Science Fiction,men in black: international,Chris Hemsworth Tessa Thompson Kumail Nanjiani F. Gary Gray Comedy Science Fiction
Tim Story,Samuel L. Jackson,Jessie Usher,Richard Roundtree,Action Crime,shaft,Samuel L. Jackson Jessie Usher Richard Roundtree Tim Story Action Crime
Jim Jarmusch,Bill Murray,Adam Driver,Tilda Swinton,Comedy Horror Fantasy,the dead don't die,Bill Murray Adam Driver Tilda Swinton Jim Jarmusch Comedy Horror Fantasy
Kyle Newacheck,Adam Sandler,Jennifer Aniston,Luke Evans,Comedy,murder mystery,Adam Sandler Jennifer Aniston Luke Evans Kyle Newacheck Comedy
"Jeff Chan, Andrew Rhymer",Maya Erskine,Jack Quaid,Beck Bennett,Romance Comedy Drama,plus one,"Maya Erskine Jack Quaid Beck Bennett Jeff Chan, Andrew Rhymer Romance Comedy Drama"
Miranda Bailey,Jim Gaffigan,Logan Miller,Samantha Mathis,Comedy,being frank,Jim Gaffigan Logan Miller Samantha Mathis Miranda Bailey Comedy
Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Family Adventure Animation Comedy Fantasy Drama,toy story 4,Tom Hanks Tim Allen Annie Potts Josh Cooley Family Adventure Animation Comedy Fantasy Drama
Luc Besson,Sasha Luss,Helen Mirren,Luke Evans,Thriller Action,anna,Sasha Luss Helen Mirren Luke Evans Luc Besson Thriller Action
Lars Klevberg,Aubrey Plaza,Gabriel Bateman,Brian Tyree Henry,Horror,child's play,Aubrey Plaza Gabriel Bateman Brian Tyree Henry Lars Klevberg Horror
Gary Dauberman,Mckenna Grace,Madison Iseman,Katie Sarife,Horror Mystery Thriller,annabelle comes home,Mckenna Grace Madison Iseman Katie Sarife Gary Dauberman Horror Mystery Thriller
Danny Boyle,Himesh Patel,Lily James,Ed Sheeran,Comedy Fantasy Music Romance,yesterday,Himesh Patel Lily James Ed Sheeran Danny Boyle Comedy Fantasy Music Romance
Claire McCarthy,Daisy Ridley,Naomi Watts,Clive Owen,Drama Romance History,ophelia,Daisy Ridley Naomi Watts Clive Owen Claire McCarthy Drama Romance History
Martin Owen,Tommy Flanagan,Rhyon Nicole Brown,Jessica Alba,Action Thriller Crime Mystery,killers anonymous,Tommy Flanagan Rhyon Nicole Brown Jessica Alba Martin Owen Action Thriller Crime Mystery
Jon Watts,Tom Holland,Samuel L. Jackson,Zendaya,Action Adventure Science Fiction,spider-man: far from home,Tom Holland Samuel L. Jackson Zendaya Jon Watts Action Adventure Science Fiction
John Herzfeld,Sylvester Stallone,Curtis Jackson,Dave Bautista,Action Thriller Crime,escape plan: the extractors,Sylvester Stallone Curtis Jackson Dave Bautista John Herzfeld Action Thriller Crime
Ari Aster,Florence Pugh,Jack Reynor,William Jackson Harper,Horror Drama Mystery,midsommar,Florence Pugh Jack Reynor William Jackson Harper Ari Aster Horror Drama Mystery
Michael Dowse,Kumail Nanjiani,Dave Bautista,Iko Uwais,Action Comedy,stuber,Kumail Nanjiani Dave Bautista Iko Uwais Michael Dowse Action Comedy
Alexandre Aja,Kaya Scodelario,Barry Pepper,unknown,Thriller Horror Action,crawl,Kaya Scodelario Barry Pepper unknown Alexandre Aja Thriller Horror Action
Joe Lynch,Frank Grillo,Anthony Mackie,Marcia Gay Harden,Action Thriller,point blank,Frank Grillo Anthony Mackie Marcia Gay Harden Joe Lynch Action Thriller
Lulu Wang,Awkwafina,Tzi Ma,Diana Lin,Comedy Drama,the farewell,Awkwafina Tzi Ma Diana Lin Lulu Wang Comedy Drama
Pollyanna Mcintosh,Pollyanna McIntosh,Cooper Andrews,Nora-Jane Noone,Horror Mystery,darlin',Pollyanna McIntosh Cooper Andrews Nora-Jane Noone Pollyanna Mcintosh Horror Mystery
Jon Favreau,Donald Glover,Seth Rogen,Chiwetel Ejiofor,Family Animation Drama,the lion king,Donald Glover Seth Rogen Chiwetel Ejiofor Jon Favreau Family Animation Drama
Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Comedy Drama Thriller,once upon a time in hollywood,Leonardo DiCaprio Brad Pitt Margot Robbie Quentin Tarantino Comedy Drama Thriller
Guy Nattiv,Jamie Bell,Danielle Macdonald,Daniel Henshall,Thriller Action Drama,skin,Jamie Bell Danielle Macdonald Daniel Henshall Guy Nattiv Thriller Action Drama
Gideon Raff,Chris Evans,Haley Bennett,Michael K. Williams,Drama Thriller History,the red sea diving resort,Chris Evans Haley Bennett Michael K. Williams Gideon Raff Drama Thriller History
David Leitch,Dwayne Johnson,Jason Statham,Idris Elba,Action Adventure Comedy,fast & furious presents: hobbs & shaw,Dwayne Johnson Jason Statham Idris Elba David Leitch Action Adventure Comedy
Shawn Ku,Nicolas Cage,Benjamin Bratt,unknown,Action Thriller Drama,a score to settle,Nicolas Cage Benjamin Bratt unknown Shawn Ku Action Thriller Drama
Yuval Adler,Diane Kruger,Martin Freeman,Cas Anvar,Drama Thriller,the operative,Diane Kruger Martin Freeman Cas Anvar Yuval Adler Drama Thriller
James Bobin,Isabela Moner,Eugenio Derbez,Michael Peña,Adventure Comedy Family Fantasy,dora and the lost city of gold,Isabela Moner Eugenio Derbez Michael Peña James Bobin Adventure Comedy Family Fantasy
Andrea Berloff,Melissa McCarthy,Tiffany Haddish,Elisabeth Moss,Action Crime Drama,the kitchen,Melissa McCarthy Tiffany Haddish Elisabeth Moss Andrea Berloff Action Crime Drama
Simon Curtis,Milo Ventimiglia,Amanda Seyfried,Kathy Baker,Comedy Drama Romance,the art of racing in the rain,Milo Ventimiglia Amanda Seyfried Kathy Baker Simon Curtis Comedy Drama Romance
André Øvredal,Zoe Colletti,Michael Garza,Gabriel Rush,Horror Thriller,scary stories to tell in the dark,Zoe Colletti Michael Garza Gabriel Rush André Øvredal Horror Thriller
"Tyler Nilson, Michael Schwartz",Shia LaBeouf,Dakota Johnson,John Hawkes,Adventure Drama Comedy,the peanut butter falcon,"Shia LaBeouf Dakota Johnson John Hawkes Tyler Nilson, Michael Schwartz Adventure Drama Comedy"
Bart Freundlich,Michelle Williams,Julianne Moore,Billy Crudup,Drama,after the wedding,Michelle Williams Julianne Moore Billy Crudup Bart Freundlich Drama
Casey Affleck,Casey Affleck,Anna Pniowsky,Tom Bower,Science Fiction Drama,light of my life,Casey Affleck Anna Pniowsky Tom Bower Casey Affleck Science Fiction Drama
Thurop Van Orman,Jason Sudeikis,Josh Gad,Leslie Jones,Animation Comedy Adventure Family,the angry birds movie 2,Jason Sudeikis Josh Gad Leslie Jones Thurop Van Orman Animation Comedy Adventure Family
Gene Stupnitsky,Jacob Tremblay,Brady Noon,Keith L. Williams,Comedy,good boys,Jacob Tremblay Brady Noon Keith L. Williams Gene Stupnitsky Comedy
Gurinder Chadha,Viveik Kalra,Kulvinder Ghir,Meera Ganatra,Drama Comedy,blinded by the light,Viveik Kalra Kulvinder Ghir Meera Ganatra Gurinder Chadha Drama Comedy
Richard Linklater,Cate Blanchett,Billy Crudup,Emma Nelson,Comedy Drama,"where'd you go, bernadette",Cate Blanchett Billy Crudup Emma Nelson Richard Linklater Comedy Drama
Johannes Roberts,John Corbett,Nia Long,Sophie Nelisse,Horror Drama Adventure,47 meters down: uncaged,John Corbett Nia Long Sophie Nelisse Johannes Roberts Horror Drama Adventure
William McGregor,Maxine Peake,Eleanor Worthington Cox,Richard Harrington,Drama Mystery Horror History,gwen,Maxine Peake Eleanor Worthington Cox Richard Harrington William McGregor Drama Mystery Horror History
"Matt Bettinelli-Olpin, Tyler Gillett",Samara Weaving,Adam Brody,Mark O'Brien,Comedy Horror Thriller,ready or not,"Samara Weaving Adam Brody Mark O'Brien Matt Bettinelli-Olpin, Tyler Gillett Comedy Horror Thriller"
Ric Roman Waugh,Gerard Butler,Morgan Freeman,Jada Pinkett Smith,Action Thriller,angel has fallen,Gerard Butler Morgan Freeman Jada Pinkett Smith Ric Roman Waugh Action Thriller
Paul Downs Colaizzo,Jillian Bell,Michaela Watkins,Utkarsh Ambudkar,Comedy Drama,brittany runs a marathon,Jillian Bell Michaela Watkins Utkarsh Ambudkar Paul Downs Colaizzo Comedy Drama
Alex Kendrick,Alex Kendrick,Priscilla Shirer,Ben Davies,Drama,overcomer,Alex Kendrick Priscilla Shirer Ben Davies Alex Kendrick Drama
David M. Rosenthal,Michael Ealy,Jesse Williams,Nicole Beharie,Drama Mystery Horror,jacob's ladder,Michael Ealy Jesse Williams Nicole Beharie David M. Rosenthal Drama Mystery Horror
Mike Gan,Tilda Cobham-Hervey,Suki Waterhouse,Harry Shum Jr.,Thriller Crime Action,burn,Tilda Cobham-Hervey Suki Waterhouse Harry Shum Jr. Mike Gan Thriller Crime Action
Gavin Hood,Keira Knightley,Matt Smith,Matthew Goode,Thriller History Drama,official secrets,Keira Knightley Matt Smith Matthew Goode Gavin Hood Thriller History Drama
Jacob Aaron Estes,David Oyelowo,Storm Reid,Byron Mann,Science Fiction Thriller Mystery Crime,don't let go,David Oyelowo Storm Reid Byron Mann Jacob Aaron Estes Science Fiction Thriller Mystery Crime
Micah Gallo,Bruce Davison,Denise Crosby,Elizabeth Roberts,Horror Thriller,itsy bitsy,Bruce Davison Denise Crosby Elizabeth Roberts Micah Gallo Horror Thriller
Fred Durst,John Travolta,Devon Sawa,Ana Golja,Crime Thriller,the fanatic,John Travolta Devon Sawa Ana Golja Fred Durst Crime Thriller
Andy Muschietti,James McAvoy,Jessica Chastain,Bill Hader,Horror Fantasy,it chapter two,James McAvoy Jessica Chastain Bill Hader Andy Muschietti Horror Fantasy
Chelsea Stardust,Hayley Griffith,Ruby Modine,Arden Myrin,Horror Comedy,satanic panic,Hayley Griffith Ruby Modine Arden Myrin Chelsea Stardust Horror Comedy
Rowan Athale,Amy Ryan,Nick Robinson,Margaret Qualley,Thriller,strange but true,Amy Ryan Nick Robinson Margaret Qualley Rowan Athale Thriller
Ali LeRoi,Steven Silver,Nicola Peltz,unknown,Drama Thriller,the obituary of tunde johnson,Steven Silver Nicola Peltz unknown Ali LeRoi Drama Thriller
John Crowley,Ansel Elgort,Oakes Fegley,Aneurin Barnard,Drama,the goldfinch,Ansel Elgort Oakes Fegley Aneurin Barnard John Crowley Drama
Lorene Scafaria,Constance Wu,Jennifer Lopez,Julia Stiles,Drama Comedy Crime,hustlers,Constance Wu Jennifer Lopez Julia Stiles Lorene Scafaria Drama Comedy Crime
Michael Tyburski,Rashida Jones,Peter Sarsgaard,Tony Revolori,Drama,the sound of silence,Rashida Jones Peter Sarsgaard Tony Revolori Michael Tyburski Drama
Alejandro Landes,Julianne Nicholson,Moisés Arias,unknown,Drama War,monos,Julianne Nicholson Moisés Arias unknown Alejandro Landes Drama War
Nzingha Stewart,Ava Michelle,Griffin Gluck,Luke Eisner,Comedy Romance,tall girl,Ava Michelle Griffin Gluck Luke Eisner Nzingha Stewart Comedy Romance
James Gray,Brad Pitt,Tommy Lee Jones,Ruth Negga,Science Fiction Drama,ad astra,Brad Pitt Tommy Lee Jones Ruth Negga James Gray Science Fiction Drama
Michael Engler,Hugh Bonneville,Jim Carter,Michelle Dockery,Drama Romance,downton abbey,Hugh Bonneville Jim Carter Michelle Dockery Michael Engler Drama Romance
Adrian Grunberg,Sylvester Stallone,Adriana Barraza,Paz Vega,Action Thriller Drama,rambo: last blood,Sylvester Stallone Adriana Barraza Paz Vega Adrian Grunberg Action Thriller Drama
Henry Jacobson,Seann William Scott,Mariela Garriga,Dale Dickey,Horror Science Fiction,bloodline,Seann William Scott Mariela Garriga Dale Dickey Henry Jacobson Horror Science Fiction
Jason Cabell,Nicolas Cage,Laurence Fishburne,unknown,Action,running with the devil,Nicolas Cage Laurence Fishburne unknown Jason Cabell Action
Brad Anderson,Sam Worthington,Lily Rabe,Stephen Tobolowsky,Thriller,fractured,Sam Worthington Lily Rabe Stephen Tobolowsky Brad Anderson Thriller
Jill Culton,Chloe Bennet,Albert Tsai,Tenzing Norgay Trainor,Family Animation Adventure Comedy,abominable,Chloe Bennet Albert Tsai Tenzing Norgay Trainor Jill Culton Family Animation Adventure Comedy
Steven Soderbergh,Meryl Streep,Gary Oldman,Antonio Banderas,Drama Crime Comedy,the laundromat,Meryl Streep Gary Oldman Antonio Banderas Steven Soderbergh Drama Crime Comedy
Rupert Goold,Renée Zellweger,Jessie Buckley,Finn Wittrock,Drama History Music,judy,Renée Zellweger Jessie Buckley Finn Wittrock Rupert Goold Drama History Music
Franck Khalfoun,Logan Miller,Kristine Froseth,unknown,Thriller Action Science Fiction,prey,Logan Miller Kristine Froseth unknown Franck Khalfoun Thriller Action Science Fiction
Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Crime Thriller Drama,joker,Joaquin Phoenix Robert De Niro Zazie Beetz Todd Phillips Crime Thriller Drama
Noah Hawley,Natalie Portman,Jon Hamm,Zazie Beetz,Drama Science Fiction Thriller,lucy in the sky,Natalie Portman Jon Hamm Zazie Beetz Noah Hawley Drama Science Fiction Thriller
Craig Brewer,Eddie Murphy,Keegan-Michael Key,Mike Epps,Drama Comedy History,dolemite is my name,Eddie Murphy Keegan-Michael Key Mike Epps Craig Brewer Drama Comedy History
Vincenzo Natali,Patrick Wilson,Harrison Gilbertson,Rachel Wilson,Horror Drama Thriller,in the tall grass,Patrick Wilson Harrison Gilbertson Rachel Wilson Vincenzo Natali Horror Drama Thriller
Kevin McMullin,Keean Johnson,Jaeden Martell,Alex Neustaedter,Drama Thriller,low tide,Keean Johnson Jaeden Martell Alex Neustaedter Kevin McMullin Drama Thriller
Michael Beach Nichols,Michael Beach Nichols,Christopher K. Walker (screenplay),unknown,Documentary,wrinkles the clown,Michael Beach Nichols Christopher K. Walker (screenplay) unknown Michael Beach Nichols Documentary
Abe Forsythe,Lupita Nyong'o,Alexander England,Josh Gad,Adventure Fantasy Comedy Family,little monsters,Lupita Nyong'o Alexander England Josh Gad Abe Forsythe Adventure Fantasy Comedy Family
Ang Lee,Will Smith,Mary Elizabeth Winstead,Clive Owen,Science Fiction Action Thriller,gemini man,Will Smith Mary Elizabeth Winstead Clive Owen Ang Lee Science Fiction Action Thriller
"Conrad Vernon, Greg Tiernan",Oscar Isaac,Charlize Theron,Chloë Grace Moretz,Animation Adventure Comedy Family Fantasy Horror,the addams family,"Oscar Isaac Charlize Theron Chloë Grace Moretz Conrad Vernon, Greg Tiernan Animation Adventure Comedy Family Fantasy Horror"
David Michôd,Timothée Chalamet,Joel Edgerton,Sean Harris,Action Thriller Science Fiction,the king,Timothée Chalamet Joel Edgerton Sean Harris David Michôd Action Thriller Science Fiction
unknown,Adam Devine,Rose Byrne,Alexandra Shipp,Comedy,jexi,Adam Devine Rose Byrne Alexandra Shipp unknown Comedy
Lars Klevberg,Kathryn Prescott,Grace Zabriskie,Samantha Logan,Horror Thriller Mystery,polaroid,Kathryn Prescott Grace Zabriskie Samantha Logan Lars Klevberg Horror Thriller Mystery
Vince Gilligan,Aaron Paul,Jesse Plemons,Scott MacArthur,Crime Drama Thriller Action,el camino: a breaking bad movie,Aaron Paul Jesse Plemons Scott MacArthur Vince Gilligan Crime Drama Thriller Action
Joachim Rønning,Angelina Jolie,Elle Fanning,Michelle Pfeiffer,Family Fantasy Adventure,maleficent: mistress of evil,Angelina Jolie Elle Fanning Michelle Pfeiffer Joachim Rønning Family Fantasy Adventure
Ruben Fleischer,Woody Harrelson,Jesse Eisenberg,Emma Stone,Comedy Horror,zombieland: double tap,Woody Harrelson Jesse Eisenberg Emma Stone Ruben Fleischer Comedy Horror
Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Comedy War Drama,jojo rabbit,Roman Griffin Davis Thomasin McKenzie Scarlett Johansson Taika Waititi Comedy War Drama
Robert Eggers,Willem Dafoe,Robert Pattinson,unknown,Drama Fantasy Thriller Horror,the lighthouse,Willem Dafoe Robert Pattinson unknown Robert Eggers Drama Fantasy Thriller Horror
Babak Anvari,Armie Hammer,Dakota Johnson,Zazie Beetz,Horror Mystery Thriller,wounds,Armie Hammer Dakota Johnson Zazie Beetz Babak Anvari Horror Mystery Thriller
Deon Taylor,Naomie Harris,Tyrese Gibson,Frank Grillo,Drama Action Thriller,black and blue,Naomie Harris Tyrese Gibson Frank Grillo Deon Taylor Drama Action Thriller
Alfonso Gomez-Rejon,Benedict Cumberbatch,Michael Shannon,Katherine Waterston,Drama History,the current war,Benedict Cumberbatch Michael Shannon Katherine Waterston Alfonso Gomez-Rejon Drama History
Justin Dec,Elizabeth Lail,Peter Facinelli,Anne Winters,Horror Thriller,countdown,Elizabeth Lail Peter Facinelli Anne Winters Justin Dec Horror Thriller
Dan Krauss,Nat Wolff,Alexander Skarsgård,unknown,War Action Drama,the kill team,Nat Wolff Alexander Skarsgård unknown Dan Krauss War Action Drama
"Chris Lofing, Travis Cluff",Chris Milligan,Ema Horvath,Brittany Falardeau,Horror Thriller,the gallows act ii,"Chris Milligan Ema Horvath Brittany Falardeau Chris Lofing, Travis Cluff Horror Thriller"
Tim Miller,Linda Hamilton,Arnold Schwarzenegger,Mackenzie Davis,Science Fiction Action Adventure,terminator: dark fate,Linda Hamilton Arnold Schwarzenegger Mackenzie Davis Tim Miller Science Fiction Action Adventure
Edward Norton,Edward Norton,Bruce Willis,Gugu Mbatha-Raw,Drama Thriller,motherless brooklyn,Edward Norton Bruce Willis Gugu Mbatha-Raw Edward Norton Drama Thriller
Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Crime Drama History,the irishman,Robert De Niro Al Pacino Joe Pesci Martin Scorsese Crime Drama History
Kasi Lemmons,Cynthia Erivo,Leslie Odom Jr.,Joe Alwyn,Drama History,harriet,Cynthia Erivo Leslie Odom Jr. Joe Alwyn Kasi Lemmons Drama History
Aaron Woodley,Jeremy Renner,James Franco,Heidi Klum,Animation Adventure Comedy,arctic dogs,Jeremy Renner James Franco Heidi Klum Aaron Woodley Animation Adventure Comedy
Noah Baumbach,Scarlett Johansson,Adam Driver,Laura Dern,Drama,marriage story,Scarlett Johansson Adam Driver Laura Dern Noah Baumbach Drama
Mike Flanagan,Ewan McGregor,Rebecca Ferguson,Kyliegh Curran,Horror Thriller Fantasy,doctor sleep,Ewan McGregor Rebecca Ferguson Kyliegh Curran Mike Flanagan Horror Thriller Fantasy
Paul Feig,Emilia Clarke,Henry Golding,Michelle Yeoh,Comedy Romance,last christmas,Emilia Clarke Henry Golding Michelle Yeoh Paul Feig Comedy Romance
Andy Fickman,John Cena,Keegan-Michael Key,John Leguizamo,Family Comedy,playing with fire,John Cena Keegan-Michael Key John Leguizamo Andy Fickman Family Comedy
Luke Snellin,Isabela Merced,Shameik Moore,Kiernan Shipka,Romance Comedy,let it snow,Isabela Merced Shameik Moore Kiernan Shipka Luke Snellin Romance Comedy
Roland Emmerich,Ed Skrein,Patrick Wilson,Luke Evans,War History Action Drama,midway,Ed Skrein Patrick Wilson Luke Evans Roland Emmerich War History Action Drama
Sergio Pablos,J. K. Simmons,Jason Schwartzman,Rashida Jones,Animation Family Adventure Comedy Fantasy,klaus,J. K. Simmons Jason Schwartzman Rashida Jones Sergio Pablos Animation Family Adventure Comedy Fantasy
Alma Har'el,Shia LaBeouf,Lucas Hedges,Noah Jupe,Drama,honey boy,Shia LaBeouf Lucas Hedges Noah Jupe Alma Har'el Drama
Charlie Bean,Tessa Thompson,Justin Theroux,Kiersey Clemons,Family Animation Romance,lady and the tramp,Tessa Thompson Justin Theroux Kiersey Clemons Charlie Bean Family Animation Romance
Marc Lawrence,Anna Kendrick,Bill Hader,Kingsley Ben-Adir,Family Comedy Fantasy,noelle,Anna Kendrick Bill Hader Kingsley Ben-Adir Marc Lawrence Family Comedy Fantasy
James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Drama Action History,ford v ferrari,Matt Damon Christian Bale Jon Bernthal James Mangold Drama Action History
Elizabeth Banks,Kristen Stewart,Naomi Scott,Ella Balinska,Action Adventure Comedy Science Fiction,charlie's angels,Kristen Stewart Naomi Scott Ella Balinska Elizabeth Banks Action Adventure Comedy Science Fiction
Bill Condon,Ian McKellen,Helen Mirren,Russell Tovey,Crime,the good liar,Ian McKellen Helen Mirren Russell Tovey Bill Condon Crime
Scott Z. Burns,Adam Driver,Annette Bening,Ted Levine,Thriller Drama,the report,Adam Driver Annette Bening Ted Levine Scott Z. Burns Thriller Drama
Trey Edward Shults,Kelvin Harrison Jr.,Lucas Hedges,Taylor Russell,Romance Drama,waves,Kelvin Harrison Jr. Lucas Hedges Taylor Russell Trey Edward Shults Romance Drama
"Chris Buck, Jennifer Lee",Idina Menzel,Kristen Bell,Jonathan Groff,Family Animation Adventure Comedy Fantasy,frozen ii,"Idina Menzel Kristen Bell Jonathan Groff Chris Buck, Jennifer Lee Family Animation Adventure Comedy Fantasy"
Marielle Heller,Tom Hanks,Matthew Rhys,Susan Kelechi Watson,Drama History,a beautiful day in the neighborhood,Tom Hanks Matthew Rhys Susan Kelechi Watson Marielle Heller Drama History
Brian Kirk,Chadwick Boseman,Sienna Miller,Stephan James,Crime Action Drama,21 bridges,Chadwick Boseman Sienna Miller Stephan James Brian Kirk Crime Action Drama
Todd Haynes,Mark Ruffalo,Anne Hathaway,Tim Robbins,Drama Thriller History,dark waters,Mark Ruffalo Anne Hathaway Tim Robbins Todd Haynes Drama Thriller History
Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Comedy Crime Mystery,knives out,Daniel Craig Chris Evans Ana de Armas Rian Johnson Comedy Crime Mystery
Melina Matsoukas,Daniel Kaluuya,Jodie Turner-Smith,Bokeem Woodbine,Drama Romance Crime,queen & slim,Daniel Kaluuya Jodie Turner-Smith Bokeem Woodbine Melina Matsoukas Drama Romance Crime
Fernando Meirelles,Anthony Hopkins,Jonathan Pryce,unknown,Drama Comedy History,the two popes,Anthony Hopkins Jonathan Pryce unknown Fernando Meirelles Drama Comedy History
Lino DiSalvo,Anya Taylor-Joy,Daniel Radcliffe,Gabriel Bateman,Family Animation Comedy Adventure,playmobil: the movie,Anya Taylor-Joy Daniel Radcliffe Gabriel Bateman Lino DiSalvo Family Animation Comedy Adventure
Tom Harper,Felicity Jones,Eddie Redmayne,Himesh Patel,Adventure Drama Romance,the aeronauts,Felicity Jones Eddie Redmayne Himesh Patel Tom Harper Adventure Drama Romance
Sam Taylor-Johnson,Aaron Taylor-Johnson,Billy Bob Thornton,Odessa Young,Drama,a million little pieces,Aaron Taylor-Johnson Billy Bob Thornton Odessa Young Sam Taylor-Johnson Drama
Adam Egypt Mortimer,Miles Robbins,Patrick Schwarzenegger,Sasha Lane,Horror Mystery,daniel isn't real,Miles Robbins Patrick Schwarzenegger Sasha Lane Adam Egypt Mortimer Horror Mystery
Jake Kasdan,Dwayne Johnson,Jack Black,Kevin Hart,Adventure Comedy Fantasy,jumanji: the next level,Dwayne Johnson Jack Black Kevin Hart Jake Kasdan Adventure Comedy Fantasy
